date,pnl,cum,delta,target_delta,stress,trend,tail_active
2020-09-04,4.2783568083319,89.90368521219389,0.5,0.5,1.0,1.0,1.0
2020-09-08,-1.9399642294818653,87.96372098271203,0.5019406651509302,0.5,1.0,1.0,1.0
2020-09-09,1.3409691757548299,89.30469015846687,0.5082734147583842,0.5,1.0,1.0,1.0
2020-09-10,-2.6500412846255994,86.65464887384127,0.49326396748616097,0.5,1.0,1.0,1.0
2020-09-11,1.9632389501646368,88.6178878240059,0.5113878644109164,0.5,1.0,1.0,1.0
2020-09-14,3.2785268766550972,91.896414700661,1.124457493561581,1.124457493561581,0.0,1.0,0.0
2020-09-15,-0.579374823224445,91.31703987743656,1.124457493561581,1.1540088954540662,0.0,1.0,0.0
2020-09-16,-0.28892667486270723,91.02811320257385,1.2475582774314518,1.2475582774314518,0.0,1.0,0.0
2020-09-17,1.17826894060527,92.20638214317911,1.2475582774314518,1.2955365028400603,0.0,1.0,0.0
2020-09-18,5.143858708518148,97.35024085169727,1.2475582774314518,1.306495078078993,0.0,1.0,0.0
2020-09-21,-4.426260317485148,92.92398053421212,0.5000000000000001,0.5,1.0,1.0,1.0
2020-09-22,1.4594610360415627,94.38344157025368,0.5030904004169261,0.5,1.0,1.0,1.0
2020-09-23,-3.22731645069911,91.15612511955457,0.48981232686175924,0.5,1.0,1.0,1.0
2020-09-24,-1.2608476811309874,89.89527743842359,0.4851641318067371,0.5,1.0,1.0,1.0
2020-09-25,0.12252173224144369,90.01779917066503,0.48724862137534,0.5,1.0,1.0,1.0
2020-09-28,2.3449712702753214,92.36277044094035,1.1457374099198616,1.1457374099198616,0.0,1.0,0.0
2020-09-29,-0.09010162238337359,92.27266881855698,0.4999999999999999,0.5,1.0,1.0,1.0
2020-09-30,2.169825181178559,94.44249399973553,0.5046203942168457,0.5,1.0,1.0,1.0
2020-10-01,-3.6599704503454853,90.78252354939005,0.20000000000000007,0.2,1.0,1.0,1.0
2020-10-02,2.7717697809097297,93.55429333029979,0.23926324317651393,0.2,1.0,1.0,1.0
2020-10-05,-0.6219659761347642,92.93232735416503,0.2487266709836201,0.2,1.0,1.0,1.0
2020-10-06,-0.0417052107293933,92.89062214343564,0.2524675972142718,0.2,1.0,1.0,1.0
2020-10-07,1.8325351398207692,94.7231572832564,0.269037537434787,0.2,1.0,1.0,1.0
2020-10-08,0.27504950435927017,94.99820678761567,0.5,0.5,1.0,1.0,1.0
2020-10-09,3.381095507865762,98.37930229548144,0.8286794583043385,0.8286794583043385,0.0,1.0,0.0
2020-10-12,-1.3012434492161706,97.07805884626526,0.8286794583043385,0.8322792564544941,0.0,1.0,0.0
2020-10-13,-1.5231536236795242,95.55490522258575,0.8286794583043385,0.8303490272949005,0.0,1.0,0.0
2020-10-14,0.5750167150295712,96.12992193761532,0.8286794583043385,0.8300836424585422,0.0,1.0,0.0
2020-10-15,2.752821517183187,98.88274345479851,0.8286794583043385,0.823953893214744,0.0,1.0,0.0
2020-10-16,-1.5892281979779126,97.2935152568206,0.8286794583043385,0.8318710272165609,0.0,1.0,0.0
2020-10-19,1.4449565213289863,98.73847177814959,0.8286794583043385,0.8785214150160752,0.0,1.0,0.0
2020-10-20,4.998132420825822,103.73660419897541,0.8286794583043385,0.8597432730737553,0.0,1.0,0.0
2020-10-21,4.117923411509184,107.8545276104846,0.8286794583043385,0.8741730897526835,0.0,1.0,0.0
2020-10-22,-3.556973314827642,104.29755429565695,0.8286794583043385,0.8668487853233958,0.0,1.0,0.0
2020-10-23,-1.9968165098474349,102.30073778580952,0.8286794583043385,0.8630688816998358,0.0,1.0,0.0
2020-10-26,-3.2438254408502716,99.05691234495924,0.8286794583043385,0.8557049189633904,0.0,1.0,0.0
2020-10-27,0.4578191812951148,99.51473152625437,0.8286794583043385,0.8555040556717852,0.0,1.0,0.0
2020-10-28,-2.440443610724445,97.07428791552992,0.8286794583043385,0.8627035781025431,0.0,1.0,0.0
2020-10-29,-0.8549924072583261,96.2192955082716,1.1861102718593322,1.1861102718593322,0.0,1.0,0.0
2020-10-30,-1.283566185000069,94.93572932327153,1.5,1.5,0.0,1.0,0.0
